,Item_Outlet_Sales
0,1581.3391846758009
1,1369.7858884957066
2,594.6095628415677
3,2614.6116700960656
4,5934.983440857474
5,1925.0164474507244
6,590.9685144449369
7,2207.5057452089654
8,1557.4374541041516
9,3171.1592178160518
10,1944.981420818049
11,1297.3408799093027
12,590.2527498364431
13,2250.8512693645866
14,803.7307098357918
15,2505.3901570325397
16,3457.440759529278
17,2867.583673068662
18,2760.078782138571
19,516.8196736844527
20,2867.436883172473
21,3903.0134733170976
22,787.3625471685717
23,319.21456366445614
24,3105.393840963812
25,731.6684039547688
26,844.313692436091
27,2583.5858108662514
28,3783.2161717105046
29,2024.7836899200413
30,10.228312220455503
31,2863.777821232
32,484.33017552911514
33,5691.243503757795
34,2585.5388489564493
35,5575.947276615122
36,2173.2872678697413
37,350.44146882268694
38,3217.008998913961
39,2691.0801564482294
40,1776.884459729016
41,320.09606858362326
42,2897.6266835083957
43,2160.9617991725854
44,569.3850955466494
45,1807.265347864852
46,117.06865671786532
47,3276.6415364904606
48,3797.759740931971
49,2013.2786507111562
50,935.8554754939058
51,1642.9470223809028
52,3082.193456538248
53,2104.1285326433936
54,5475.041351799743
55,3028.9410050093034
56,3027.925741793149
57,650.3718165924528
58,485.9266056466905
59,1363.8858552955503
60,2581.564707841806
61,3412.8128963536983
62,3303.9568281915044
63,1565.650528976067
64,2410.673143410569
65,2539.326246690298
66,2683.560156539285
67,4257.100920974811
68,3027.925741793149
69,3648.9851109981396
70,3115.5287850066366
71,2653.561199252745
72,1766.4005739447668
73,3873.1131274253194
74,3982.0918392267827
75,2899.999452474943
76,332.07113205892017
77,2475.0224305851275
78,711.5238741029879
79,2499.3028468810408
80,2602.6877313501404
81,1678.892977208773
82,1951.5819569770515
83,3199.542567759776
84,2887.44289147335
85,1740.109501045308
86,4133.064741857603
87,3343.857734809868
88,830.2371760596532
89,529.1364083911012
90,2578.4887584938188
91,5676.952424175751
92,2672.829883810822
93,1432.652218186351
94,2108.540945215022
95,788.7315314163886
96,2144.557462424155
97,2134.9539702788297
98,3156.459313932259
99,1351.5501720636655
100,2168.6200629852424
101,1573.183706619275
102,2817.613149320557
103,2123.552016408467
104,546.562150170983
105,6094.535624124881
106,724.2032311658716
107,887.835012464048
108,1247.7214919573876
109,3685.828020880732
110,340.3298963884223
111,3148.673315095592
112,275.9823178937572
113,5928.691043573103
114,1555.1891714698204
115,2674.6677539145658
116,906.7528095984292
117,1432.2089362224772
118,1597.681201410043
119,1484.3620141914564
120,4945.236399783226
121,660.029926855044
122,1466.1353583520538
123,1506.7307626048864
124,3221.423664368251
125,5292.257911000342
126,2023.0024684048035
127,415.68636605156456
128,1579.305924321739
129,1685.936730635469
130,2611.489005100026
131,1946.8263994571448
132,1813.3291563018163
133,258.3241640378992
134,1365.330567280728
135,339.09026698620994
136,482.73854740391226
137,1255.2442648141096
138,281.5761741627573
139,2411.4580537704446
140,550.2571287779634
141,656.5583279823929
142,1580.4286514212913
143,2155.964098630536
144,1488.6429174500468
145,1998.5420169611318
